narr86,nfarr86,nparr86,pcnv,avgsen,tottime,ptime86,qemp86,inc86,durat,black,hispan,born60
0,0,0,0.38,17.6,35.2,12,0,0,0,0,0,1
2,2,0,0.44,0,0,0,1,0.8,0,0,1,0
1,1,0,0.33,22.8,22.8,0,0,0,11,1,0,1
2,2,1,0.25,0,0,5,2,8.8,0,0,1,1
1,1,0,0,0,0,0,2,8.1,1,0,0,0
0,0,0,1,0,0,0,4,97.6,0,0,0,1
2,2,1,0.44,0,0,0,0,0,1,1,0,1
5,3,5,0.75,0,0,0,0,0,3,0,0,1
0,0,0,0.33,10.9,21.8,9,0,0,19.3,1,0,1
0,0,0,0.23,0,0,0,3,16.7,0,0,1,1
1,1,0,0,0,0,0,4,162.5,0,0,0,1
0,0,0,0.17,31.7,63.4,12,0,0,0,0,1,0
0,0,0,0.33,0,0,0,4,32.9,0,0,0,1
0,0,0,0,0,0,0,0,0,14,0,0,1
1,1,0,0,0,0,0,4,174.5,0,0,0,1
0,0,0,0.2,59.2,59.2,3,1.7,14.3,4.3,1,0,1
1,1,0,0.38,0,0,0,0,0,18,1,0,1
0,0,0,0.5,0,0,0,4,154,0,0,0,1
0,0,0,0.6,7.9,23.7,0,0,0,11,1,0,0
0,0,0,0.5,0,0,0,4,100.3,0,0,0,0
3,2,0,0.47,5.6,22.4,0,0,0,4.8,0,1,1
1,0,0,0.17,4,4,0,2,16.2,0,1,0,1
0,0,0,0.22,6.9,20.7,0,4,144.1,0,0,1,1
0,0,0,0.47,31.9,31.9,12,0,0,0,1,0,1
0,0,0,0.36,18.7,37.4,0,0,0,5,0,0,1
0,0,0,0.4,0,0,2,0,0,19,1,0,0
0,0,0,0.33,0,0,0,2,17.1,0,0,0,1
0,0,0,0.5,0,0,0,0,0,15,0,1,1
0,0,0,0.33,6.3,25.2,12,0,0,0,0,0,0
0,0,0,0.2,0,0,0,3,54.1,0,0,0,1
2,0,0,0,0,0,0,1,11.2,1,0,0,0
0,0,0,1,0,0,0,0,0,7,0,0,1
1,0,0,0.4,0,0,5,0,0,15,0,0,1
0,0,0,0.33,36.1,36.1,0,4,7.6,0,0,1,0
2,1,0,0.67,0,0,0,1,0.5,0,0,1,1
0,0,0,1,0,0,0,3,16.8,1,0,0,1
0,0,0,0.33,0,0,12,0,0,0,0,0,0
0,0,0,0,0,0,0,4,63,0,0,1,1
2,2,2,0,0,0,1,2,52.6,0,0,0,0
1,1,1,0.43,0,0,0,1,15.9,1,0,1,1
0,0,0,0.5,0,0,0,0,0,6,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0
3,0,0,0.39,11.3,11.3,0,3,29.7,0,0,1,0
0,0,0,0.5,0,0,0,0,0,1,1,0,1
3,2,2,0.44,0,0,0,1,3.8,0,0,1,1
0,0,0,0,0,0,0,0,0,8,0,0,1
0,0,0,0,0,0,0,0,0,9,0,1,1
2,1,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0.57,0,0,0,4,91.5,0,0,0,1
2,1,1,0.41,0,0,0,1,1.8,13,0,1,0
1,1,1,0,0,0,0,4,144,0,1,0,0
0,0,0,0.1,0,0,0,4,45.6,0,0,1,0
0,0,0,1,0,0,0,4,66.5,0,0,0,1
1,1,0,0.83,0,0,0,1,6.2,0,0,1,1
1,1,0,0,0,0,0,4,90.1,0,0,0,1
0,0,0,0.33,0,0,8,0,0,2,1,0,1
0,0,0,0,0,0,0,4,169.3,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0.5,0,0,0,0,0,11,0,0,0
0,0,0,0.33,0,0,12,0,0,0,0,1,1
1,0,0,0.33,0,0,0,0,0,1,1,0,1
0,0,0,0.6,6.2,6.2,0,0,0,5,0,0,1
1,0,1,0,0,0,0,1,17.2,13,0,0,1
0,0,0,1,0,0,0,2,3.3,12,0,0,0
1,0,0,0,0,0,0,0,0,9,0,0,0
1,1,0,0.33,12.9,25.8,6,0,0,1,1,0,1
0,0,0,0,0,0,0,4,103.7,0,0,0,1
